ts,ihd03A,ihd05A,ihd07A,ithdA
1588750882711,91.51,79.0,64.25,169.02
1588750882732,91.63,78.97,64.3,168.82
1588750882753,91.76,78.95,64.35,168.71
1588750882773,91.77,78.91,64.25,168.45
1588750882793,91.81,78.8,64.0,168.24
1588750882813,91.8,78.75,63.53,167.91
1588750882836,91.77,78.63,63.06,167.14
1588750882857,91.71,78.49,62.58,166.46
1588750882879,91.77,78.35,62.33,166.13
1588750882900,91.92,78.18,62.17,165.65
1588750882921,91.99,78.07,62.25,165.55
1588750882942,92.2,77.99,62.43,165.81
1588750882962,92.4,77.8,62.57,166.23
1588750882982,92.47,77.71,62.59,166.5
1588750883002,92.4,77.6,62.52,166.88
1588750883023,92.26,77.68,62.44,167.24
1588750883043,92.06,77.71,62.42,167.21
1588750883063,91.98,77.85,62.45,167.13
1588750883084,91.86,77.95,62.56,167.19
1588750883104,91.72,78.04,62.59,167.14
1588750883128,91.66,78.12,62.6,167.03
1588750883149,91.65,78.29,62.67,166.89
1588750883170,91.73,78.47,62.81,166.99
1588750883190,91.84,78.7,63.0,167.46
1588750883211,91.94,78.94,63.15,167.93
1588750883232,92.06,79.18,63.34,168.55
1588750883252,92.27,79.57,63.58,169.2
1588750883273,92.34,79.71,63.63,169.55
1588750883294,92.33,79.88,63.65,169.76
1588750883314,92.29,79.89,63.72,169.74
1588750883335,92.23,79.89,63.84,169.67
1588750883359,92.06,79.88,64.05,169.57
1588750883379,92.07,79.82,64.22,169.37
1588750883399,92.07,79.76,64.47,169.09
1588750883420,92.11,79.58,64.67,168.81
1588750883441,92.17,79.34,64.66,168.55
1588750883462,92.15,79.25,64.65,168.37
1588750883483,92.09,79.19,64.45,168.32
1588750883503,92.01,79.21,64.27,168.26
1588750883528,91.99,79.17,63.99,168.36
1588750883549,91.95,79.16,63.57,168.2
1588750883570,92.09,79.15,63.36,167.98
1588750883590,92.21,79.17,63.28,168.05
1588750883610,92.41,79.23,63.08,168.05
1588750883630,92.54,79.18,63.07,167.91
1588750883650,92.56,79.22,63.02,167.77
1588750883671,92.59,79.25,63.04,167.9
1588750883692,92.53,79.25,63.17,168.12
1588750883713,92.4,79.26,63.32,168.51
1588750883734,92.26,79.08,63.38,168.76
1588750883755,92.08,78.88,63.39,168.47
1588750883779,91.86,78.66,63.32,168.54
1588750883799,91.72,78.29,63.08,168.61
1588750883819,91.71,77.9,62.65,168.23
1588750883840,91.72,77.54,62.22,167.5
1588750883861,91.71,77.27,61.83,166.58
1588750883882,91.58,77.08,61.55,165.72
1588750883902,91.46,76.94,61.07,164.55
1588750883922,91.3,76.8,60.74,163.93
1588750883943,91.12,76.7,60.31,163.27
1588750883963,91.0,76.61,59.98,162.55
1588750883983,90.95,76.54,59.66,162.15
1588750884003,90.82,76.49,59.48,162.05
1588750884023,90.62,76.5,59.33,162.14
1588750884044,90.54,76.65,59.38,162.91
1588750884065,90.65,76.92,59.58,164.3
1588750884086,90.8,77.18,59.97,165.93
1588750884106,90.93,77.42,60.33,167.18
1588750884129,91.13,77.66,60.85,168.86
1588750884149,91.19,77.82,61.31,170.24
1588750884171,91.17,78.01,61.58,170.69
1588750884191,91.11,78.18,61.75,170.68
1588750884211,91.11,78.38,61.77,170.54
1588750884232,91.18,78.47,61.81,170.36
1588750884253,91.33,78.58,61.77,170.33
1588750884273,91.43,78.57,61.71,170.08
1588750884293,91.6,78.5,61.7,169.62
1588750884313,91.78,78.33,61.67,169.42
1588750884334,91.93,78.11,61.58,169.22
1588750884354,91.98,77.9,61.47,168.87
1588750884377,92.01,77.63,61.4,168.17
1588750884397,92.05,77.43,61.45,167.56
1588750884417,92.1,77.33,61.41,167.59
1588750884437,92.26,77.3,61.4,167.68
1588750884457,92.35,77.34,61.32,167.77
1588750884478,92.32,77.39,61.2,167.69
1588750884499,92.2,77.39,61.05,166.94
