ts,ihd03A,ihd05A,ihd07A,ithdA
1588748843902,89.85,74.07,53.41,139.65
1588748843922,89.92,73.88,53.4,139.63
1588748843942,90.05,73.77,53.46,139.65
1588748843963,90.13,73.68,53.62,139.65
1588748843983,90.35,73.48,53.67,139.59
1588748844003,90.37,73.35,53.74,139.5
1588748844023,90.34,73.24,53.71,139.53
1588748844043,90.34,73.26,53.67,139.33
1588748844064,90.2,73.3,53.64,139.24
1588748844084,89.94,73.31,53.5,138.93
1588748844104,89.68,73.23,53.27,138.7
1588748844124,89.5,73.15,53.22,138.47
1588748844144,89.23,73.06,53.07,138.22
1588748844164,89.21,72.96,53.14,138.19
1588748844184,89.16,72.91,53.33,138.16
1588748844204,89.13,72.79,53.45,138.16
1588748844224,89.17,72.57,53.47,138.14
1588748844244,89.17,72.24,53.47,138.06
1588748844264,89.24,72.06,53.37,137.94
1588748844284,89.24,71.8,53.29,137.78
1588748844304,89.29,71.77,53.16,137.78
1588748844324,89.28,71.83,53.12,137.89
1588748844344,89.19,71.97,53.16,138.01
1588748844364,89.16,72.27,53.28,138.18
1588748844384,89.03,72.55,53.38,138.32
1588748844404,88.97,72.73,53.56,138.35
1588748844427,88.97,72.81,53.73,138.35
1588748844447,88.74,72.84,53.85,138.35
1588748844468,88.63,72.84,53.8,138.17
1588748844488,88.42,72.82,53.71,137.97
1588748844508,88.27,72.78,53.54,137.83
1588748844528,88.2,72.89,53.5,137.79
1588748844548,88.12,73.06,53.51,137.79
1588748844568,88.19,73.12,53.47,137.91
1588748844588,88.18,73.09,53.51,138.02
1588748844608,88.24,73.06,53.46,138.11
1588748844628,88.27,72.92,53.4,138.08
1588748844648,88.33,72.88,53.35,138.09
1588748844672,88.36,72.83,53.28,138.14
1588748844692,88.47,72.84,53.31,138.26
1588748844712,88.57,73.03,53.22,138.37
1588748844732,88.75,73.12,53.15,138.4
1588748844752,88.86,73.22,53.16,138.43
1588748844772,88.92,73.21,53.07,138.4
1588748844792,88.91,73.13,53.0,138.34
1588748844812,88.85,73.09,52.92,138.19
1588748844832,88.7,73.14,52.83,138.04
1588748844852,88.72,73.18,52.82,137.98
1588748844874,88.69,73.34,52.93,137.97
1588748844894,88.8,73.46,53.07,138.05
1588748844914,89.0,73.49,53.18,138.19
1588748844934,89.34,73.63,53.35,138.54
1588748844954,89.55,73.65,53.26,138.82
1588748844974,89.73,73.56,53.23,138.88
1588748844994,89.76,73.4,53.13,138.89
1588748845014,89.75,73.3,53.11,138.84
1588748845034,89.71,73.16,53.1,138.87
1588748845054,89.72,72.98,53.06,138.85
1588748845074,89.66,72.91,53.0,138.88
1588748845094,89.67,72.76,52.92,138.74
1588748845114,89.59,72.68,52.83,138.58
1588748845134,89.4,72.58,52.82,138.38
1588748845154,89.22,72.48,52.81,138.1
1588748845174,89.05,72.48,52.89,138.02
1588748845194,88.72,72.48,52.98,137.76
1588748845214,88.51,72.53,52.95,137.62
1588748845234,88.17,72.62,53.07,137.4
1588748845254,87.93,72.73,53.02,137.2
1588748845277,87.79,72.77,53.07,137.03
1588748845302,87.72,72.71,52.94,136.83
1588748845323,87.74,72.66,52.83,136.74
1588748845344,87.77,72.53,52.63,136.66
1588748845364,87.9,72.5,52.44,136.6
1588748845384,87.99,72.59,52.36,136.69
1588748845404,88.05,72.57,52.26,136.74
1588748845424,88.05,72.57,52.35,136.74
1588748845444,88.15,72.59,52.44,136.85
1588748845464,88.31,72.65,52.65,137.13
1588748845484,88.47,72.71,52.69,137.33
