ts,ihd03A,ihd05A,ihd07A,ithdA
1588747442802,12.08,6.87,2.64,18.53
1588747442822,12.03,6.94,2.54,18.4
1588747442842,11.99,7.05,2.42,18.31
1588747442862,11.99,7.12,2.32,18.26
1588747442882,12.01,7.21,2.2,18.23
1588747442902,12.05,7.26,2.08,18.25
1588747442922,12.13,7.24,2.01,18.32
1588747442942,12.22,7.19,1.92,18.47
1588747442962,12.3,7.17,1.9,18.59
1588747442982,12.47,7.12,1.82,18.83
1588747443002,12.58,7.1,1.82,18.95
1588747443022,12.7,7.09,1.87,18.96
1588747443042,12.83,7.06,1.92,18.95
1588747443062,12.9,7.06,1.99,18.94
1588747443082,13.03,7.01,2.03,18.78
1588747443102,13.09,6.98,2.06,18.68
1588747443122,13.14,6.98,2.03,18.68
1588747443142,13.17,6.96,2.01,18.71
1588747443162,13.2,6.92,2.03,18.82
1588747443182,13.22,6.9,2.06,18.96
1588747443202,13.21,6.91,2.13,19.18
1588747443222,13.16,6.95,2.19,19.4
1588747443242,13.07,6.96,2.26,19.65
1588747443262,12.94,6.99,2.34,19.79
1588747443282,12.78,7.05,2.41,19.88
1588747443302,12.65,7.07,2.46,19.89
1588747443322,12.48,7.12,2.53,19.82
1588747443342,12.35,7.12,2.58,19.68
1588747443362,12.27,7.11,2.6,19.53
1588747443382,12.2,7.12,2.59,19.23
1588747443402,12.15,7.13,2.59,18.93
1588747443422,12.14,7.15,2.58,18.67
1588747443442,12.1,7.19,2.53,18.48
1588747443462,12.09,7.25,2.48,18.37
1588747443483,12.13,7.3,2.44,18.34
1588747443503,12.18,7.35,2.37,18.51
1588747443523,12.28,7.4,2.32,18.74
1588747443543,12.36,7.45,2.25,18.96
1588747443563,12.41,7.45,2.16,19.13
1588747443583,12.48,7.47,2.06,19.2
1588747443603,12.55,7.45,1.99,19.24
1588747443623,12.68,7.42,1.94,19.21
1588747443643,12.84,7.37,1.96,19.12
1588747443663,13.02,7.31,2.03,18.99
1588747443683,13.19,7.29,2.1,18.96
1588747443703,13.33,7.24,2.2,19.03
1588747443723,13.42,7.22,2.29,19.08
1588747443743,13.5,7.18,2.36,19.19
1588747443763,13.54,7.16,2.41,19.3
1588747443783,13.53,7.12,2.44,19.49
1588747443803,13.51,7.11,2.45,19.67
1588747443823,13.46,7.1,2.45,19.84
1588747443844,13.34,7.06,2.45,20.05
1588747443864,13.22,7.05,2.48,20.2
1588747443884,13.07,7.01,2.49,20.32
1588747443908,12.88,6.99,2.51,20.36
1588747443928,12.71,6.94,2.53,20.25
1588747443949,12.6,6.93,2.53,20.05
1588747443969,12.46,6.92,2.5,19.58
1588747443989,12.34,6.93,2.5,19.13
1588747444011,12.28,6.95,2.47,18.88
1588747444031,12.13,7.0,2.42,18.26
1588747444051,12.1,7.02,2.39,18.06
1588747444071,12.1,7.07,2.35,18.06
1588747444091,12.13,7.09,2.35,18.16
1588747444111,12.21,7.1,2.32,18.36
1588747444131,12.29,7.08,2.28,18.63
1588747444151,12.36,7.06,2.21,18.79
1588747444171,12.44,7.04,2.11,18.94
1588747444192,12.49,7.02,2.04,19.06
1588747444212,12.68,7.02,1.9,19.23
1588747444232,12.84,7.01,1.83,19.24
1588747444252,13.0,7.01,1.83,19.2
1588747444272,13.18,7.0,1.85,19.12
1588747444292,13.36,6.98,1.94,19.04
1588747444312,13.52,6.97,2.04,19.03
1588747444332,13.66,7.0,2.11,19.03
1588747444352,13.74,7.02,2.18,19.08
1588747444372,13.77,7.03,2.23,19.14
1588747444392,13.76,7.06,2.25,19.28
1588747444412,13.68,7.04,2.28,19.47
1588747444432,13.58,7.0,2.33,19.66
1588747444452,13.49,6.98,2.36,19.72
1588747444472,13.27,6.9,2.38,19.81
1588747444492,13.09,6.85,2.43,19.85
1588747444512,12.97,6.83,2.43,19.83
1588747444532,12.75,6.83,2.43,19.7
1588747444552,12.6,6.87,2.41,19.49
